sale_year,zone,cats_allowed,dogs_allowed,coop_condo,garage_exists,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,dining_room_type,fuel_type,kitchen_type,community_district_num,approx_year_built,sq_footage,walk_score,maintenance_cost,parking_charges,sale_price
2016.0,7.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0,4.0,26.0,1949.0,585.0,83.0,529.0,0.0,170454.0
2016.0,2.0,0.0,0.0,2.0,0.0,2.0,7.24,2.0,0.0,7.0,5.0,5.0,5.0,25.0,2007.0,1075.0,98.0,720.52,0.0,565000.0
2016.08,6.0,1.0,1.0,2.0,0.0,5.0,2.0,2.0,0.0,5.0,3.0,3.0,5.0,28.0,1951.0,980.0,77.0,800.34,0.0,386632.0
2016.12,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,5.0,1.0,2.0,25.0,1955.0,700.0,88.0,658.0,0.0,158540.0
2016.28,9.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,3.0,5.0,1.0,2.0,30.0,1940.0,659.68,99.0,783.0,0.0,155370.0
2016.14,9.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,4.0,4.0,1.0,2.0,11.0,1948.0,816.18,81.0,424.58,0.0,416414.84
2016.04,2.0,1.0,1.0,2.0,0.0,2.0,3.0,1.0,0.0,5.0,5.0,3.0,2.0,25.0,2011.0,957.0,72.0,859.16,0.0,554987.52
2016.06,2.0,0.0,0.0,1.0,0.0,1.0,11.56,1.0,0.0,3.0,3.0,3.0,5.0,25.0,1969.0,780.0,76.0,914.0,0.0,215581.04
2016.48,3.0,1.0,1.0,2.0,1.0,2.0,13.0,1.0,0.0,5.0,3.0,5.0,2.0,28.0,1973.0,1340.44,90.0,1315.16,0.0,527940.0
2016.0,8.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,3.0,3.0,1.0,4.0,28.0,1956.0,769.32,92.0,791.0,0.0,175000.0
2016.04,6.0,0.0,0.0,1.0,1.0,2.0,33.0,2.0,0.0,5.0,5.0,1.0,4.0,26.0,1965.0,1300.0,99.0,1833.0,185.0,616739.94
2016.06,2.0,0.0,0.0,1.0,1.0,3.0,17.44,2.0,0.0,6.0,5.0,3.0,2.0,25.0,1970.0,1451.26,76.0,1627.0,135.0,658120.0
2016.2,1.0,0.0,0.0,2.0,0.0,2.0,6.54,2.0,0.0,5.0,3.0,3.0,4.0,26.0,1960.0,1257.16,49.0,1123.52,0.0,420261.0
2016.0,1.0,0.0,0.0,1.0,1.0,2.0,6.0,2.0,0.0,6.0,3.0,3.0,2.0,26.0,1953.0,1100.0,59.0,1037.0,0.0,321500.0
2016.02,3.0,0.0,0.0,1.0,0.0,3.0,11.08,1.0,0.0,4.0,3.0,1.0,2.0,25.0,1955.0,964.7,90.0,854.0,0.0,344080.0
2016.02,6.0,0.0,0.0,1.0,0.0,2.0,8.06,1.0,1.0,5.0,3.0,3.0,4.0,28.0,1955.0,1044.24,93.0,1103.0,0.0,379187.76
2016.0,7.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,3.0,3.0,2.0,26.0,1950.0,629.28,76.0,578.0,0.0,160568.0
2016.08,2.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,4.0,3.0,3.0,5.0,25.0,1950.0,900.0,76.0,981.0,20.0,249560.0
2016.42,2.0,0.0,0.0,2.0,0.0,3.0,6.0,1.0,1.0,6.0,5.0,1.0,4.0,25.0,1937.0,1200.0,90.0,951.42,0.0,411476.0
2016.12,6.0,0.0,0.0,1.0,0.0,1.0,9.34,1.0,0.0,4.0,3.0,1.0,4.0,28.0,1949.0,750.0,94.0,740.0,145.0,204534.56
2016.0,2.0,1.0,0.0,1.0,0.0,2.0,17.0,2.0,0.0,5.0,5.0,3.0,4.0,25.0,1970.0,1206.2,76.0,1278.0,0.0,541250.0
2016.06,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,5.0,3.0,4.0,25.0,1958.0,731.54,64.0,664.0,20.0,178802.3
2016.18,2.0,0.0,0.0,1.0,0.0,1.0,7.44,1.0,0.0,4.0,4.36,3.0,4.0,26.0,1963.0,922.14,79.0,1245.0,47.0,275876.52
2016.2,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,25.0,1950.0,750.38,88.0,715.0,0.0,194782.0
2016.04,8.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,3.0,3.0,4.0,24.0,1955.0,742.1,78.0,563.0,0.0,178118.1
2016.46,6.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,3.84,3.0,5.0,28.0,1952.0,499.44,89.0,393.22,0.0,265706.0
2016.0,2.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,3.0,3.0,3.0,4.0,25.0,1958.0,982.08,40.0,1000.0,0.0,252500.0
2016.0,2.0,1.0,1.0,1.0,1.0,0.0,17.0,1.0,0.0,2.0,3.0,1.0,2.0,25.0,1970.0,816.68,71.0,811.0,135.0,240000.0
2016.06,7.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,3.0,3.0,4.0,26.0,1950.0,766.0,90.0,722.0,0.0,206342.2
2016.1,2.0,1.0,1.0,2.0,0.0,2.0,6.78,2.0,0.0,6.0,3.0,3.0,5.0,25.0,2007.0,855.0,99.0,395.58,0.0,524693.76
2016.58,2.0,0.0,0.0,1.0,0.0,0.0,8.22,1.0,0.0,2.0,4.0,3.0,2.0,25.0,1960.0,457.22,89.0,347.0,0.0,159280.0
2017.0,1.0,1.0,0.0,1.0,0.0,3.0,4.1,1.0,0.0,6.0,5.0,3.0,2.0,26.0,1955.0,1217.24,67.0,957.0,0.0,310000.0
2016.02,2.0,0.0,0.0,2.0,1.0,2.0,5.38,2.0,0.0,4.0,3.0,3.0,5.0,26.0,1983.0,973.74,85.0,596.0,0.0,565220.0
2016.12,2.0,0.0,0.0,1.0,1.0,3.0,21.0,2.0,0.0,7.0,5.0,3.0,4.0,25.0,1969.0,1500.0,40.0,2279.0,130.0,676659.96
2016.08,6.0,0.0,0.0,1.0,0.0,0.0,5.46,1.0,0.0,2.0,3.4,1.0,5.0,26.0,1939.0,506.32,95.0,482.0,0.0,170856.0
2016.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,2.0,0.0,6.0,5.0,3.0,4.0,25.0,1989.0,1325.24,48.0,753.86,0.0,600000.0
2016.0,7.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,26.0,1955.0,620.4,57.0,512.0,0.0,130000.0
2016.12,5.0,0.0,0.0,2.0,0.0,1.0,8.0,1.0,0.0,3.0,4.0,3.0,1.0,30.0,2016.0,755.0,98.0,363.3,0.0,609867.04
2016.0,2.0,1.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,3.0,3.0,1.0,2.0,25.0,1958.0,896.96,63.0,962.0,60.0,327960.0
2017.0,7.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,5.0,3.72,3.0,4.0,26.0,1955.0,909.9,72.0,801.0,0.0,215000.0
2016.0,6.0,0.0,0.0,1.0,1.0,2.0,7.0,1.0,0.0,5.0,3.0,3.0,4.0,28.0,1956.0,1042.22,96.0,1042.0,0.0,360634.32
2016.18,6.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,3.0,5.0,1.0,4.0,28.0,1945.0,861.74,96.0,643.0,0.0,287499.2
2016.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,5.0,1.0,2.0,25.0,1950.0,673.14,63.0,746.0,0.0,164000.0
2016.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,3.0,3.0,2.0,26.0,1950.0,928.78,76.0,849.0,0.0,270000.0
2016.04,6.0,0.0,0.0,1.0,1.0,2.0,33.0,2.0,0.0,5.0,5.0,1.0,4.0,26.0,1965.0,1300.0,99.0,1833.0,185.0,616739.94
2016.0,8.0,1.0,0.0,1.0,0.0,2.0,6.0,2.0,0.0,5.0,5.0,3.0,2.0,27.0,1960.0,1114.92,77.0,850.0,0.0,255000.0
2016.14,6.0,0.0,0.0,1.0,0.0,0.0,5.02,1.0,0.0,4.0,4.0,2.08,3.06,27.96,1954.18,639.96,92.0,642.42,0.0,144110.0
2016.56,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,7.0,5.0,3.0,4.0,25.0,1950.0,1300.0,89.0,901.0,0.0,336502.0
2016.06,2.0,1.0,1.0,2.0,0.0,2.0,7.0,2.0,0.0,6.0,3.0,3.0,4.0,25.0,2007.0,1233.0,93.0,772.7,0.0,612680.0
2016.02,3.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,3.66,1.0,4.0,26.0,1955.0,800.0,82.0,402.78,0.0,425492.96
2016.06,4.0,0.0,0.0,1.0,0.0,1.0,9.12,1.0,0.0,3.0,3.0,3.0,2.0,29.0,1960.0,737.34,89.0,764.0,0.0,119150.0
2016.0,9.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,4.0,3.0,1.0,2.0,20.0,1953.0,650.0,77.0,748.0,0.0,79000.0
2016.0,7.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,3.0,3.0,2.0,26.0,1950.0,651.0,77.0,673.0,0.0,173322.0
2016.08,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,4.0,4.1,1.0,4.0,25.0,1964.0,969.72,93.0,792.0,0.0,317349.28
2016.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,3.28,1.0,2.0,25.0,1952.0,717.54,83.0,676.0,0.0,170000.0
2016.0,8.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,0.0,6.0,3.0,3.0,4.0,24.0,1960.0,972.48,73.0,783.0,0.0,272000.0
2016.0,5.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,0.0,3.0,3.76,3.0,5.0,30.0,2006.0,674.22,93.0,218.0,0.0,522772.0
2016.24,9.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,3.84,4.0,2.0,30.0,1952.0,418.36,96.0,565.0,100.0,152900.0
2017.0,2.0,1.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,3.0,3.0,3.0,2.0,25.0,1951.0,979.82,86.0,815.0,0.0,235000.0
2016.02,8.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,4.0,3.0,3.0,4.0,27.0,1977.0,592.12,73.0,310.0,0.0,247146.76
2016.0,6.0,1.0,0.0,1.0,0.0,1.0,14.76,1.0,0.0,3.0,3.0,3.0,2.0,28.0,1965.0,783.64,97.0,708.0,0.0,222000.0
