full_address_or_zip_code,zipcode,date_of_sale,sale_year,zone,cats_allowed,dogs_allowed,coop_condo,garage_exists,num_bedrooms,num_floors_in_building,num_full_bathrooms,num_half_bathrooms,num_total_rooms,dining_room_type,fuel_type,kitchen_type,community_district_num,approx_year_built,sq_footage,walk_score,maintenance_cost,parking_charges,sale_price
"Flushing NY, 11355",11355,2016-02-16,2016.0,2.0,0,0,1,0,2,6.0,1,0,5,3.0,3.0,4.0,25.0,1955.0,,82,,0,228000.0
"30-11 Parsons Blvd,  Flushing NY, 11354 ( Sold )      Share",11354,2016-02-16,2016.0,2.0,0,0,1,0,1,7.0,1,0,4,5.0,1.0,4.0,25.0,1955.0,890.0,89,604.0,0,235500.0
"102-14 Lewis Ave,  Corona NY, 11368",11368,2016-02-17,2016.0,9.0,0,0,2,0,1,1.0,1,0,3,3.0,,2.0,24.0,2004.0,550.0,90,,0,137550.0
"144-48 Roosevelt Ave,  Flushing NY, 11354",11354,2016-02-17,2016.0,2.0,0,0,2,0,3,,2,0,5,3.0,3.0,4.0,25.0,2002.0,,94,,0,545000.0
"245-27 76th Ave,  Bellerose NY, 11426",11426,2016-02-18,2016.0,7.0,1,1,1,0,2,2.0,1,0,4,3.0,3.0,4.0,26.0,1949.0,675.0,71,660.0,0,241700.0
"124-16 84 Rd,  Kew Gardens NY, 11415",11415,2016-02-18,2016.0,8.0,1,1,1,0,2,6.0,1,0,4,3.0,1.0,4.0,28.0,1938.0,1000.0,90,932.0,0,250000.0
"197-09 Dunton Ave,  Holliswood NY, 11423",11423,2016-02-19,2016.0,4.0,0,0,1,0,1,,1,0,3,3.0,3.0,2.0,29.0,1950.0,,72,660.0,0,145000.0
"76-26 113 Street, Forest Hills, NY 11375",11375,2016-02-19,2016.0,6.0,0,0,1,0,0,2.0,1,0,2,,3.0,2.0,28.0,1960.0,375.0,93,514.0,0,109000.0
"209-15 18th Ave,  Bayside NY, 11360",11360,2016-02-22,2016.0,2.0,0,0,1,0,1,,1,0,4,,1.0,4.0,25.0,1960.0,,70,781.0,20,212000.0
"32-86 41st St,  Astoria NY, 11102",11102,2016-02-22,2016.0,5.0,0,0,2,0,1,4.0,1,0,3,4.0,,4.0,30.0,2005.0,681.0,98,,0,535000.0
"One Bay Club Dr,  Bayside NY, 11360",11360,2016-02-23,2016.0,2.0,0,0,2,1,2,22.0,2,0,5,5.0,3.0,4.0,25.0,1982.0,,82,,0,675000.0
"One Bay Club Dr,  Bayside NY, 11360",11360,2016-02-25,2016.0,2.0,0,0,2,1,1,21.0,1,0,4,3.0,1.0,4.0,25.0,1982.0,,82,,0,468000.0
"54-44 Little Neck Pky,  Little Neck NY, 11362",11362,2016-02-26,2016.0,1.0,1,0,1,0,2,1.0,1,0,4,3.0,3.0,4.0,26.0,1961.0,,78,829.0,0,220000.0
"160-44 17th Ave,  Whitestone NY, 11357",11357,2016-02-26,2016.0,2.0,1,0,1,0,3,2.0,1,0,5,3.0,1.0,5.0,25.0,1960.0,950.0,79,986.0,20,280000.0
"71-12 Sutton Pl,  Fresh Meadows NY, 11365",11365,2016-02-26,2016.0,3.0,0,1,2,1,3,3.0,2,0,6,5.0,3.0,4.0,25.0,1985.0,1100.0,85,,0,533000.0
"144-30 Sanford Ave,  Flushing NY, 11355",11355,2016-02-26,2016.0,2.0,0,0,1,0,2,6.0,2,0,5,3.0,1.0,5.0,25.0,1960.0,1300.0,88,1000.0,0,370000.0
"66-15 Thornton Place, Rego Park, NY 11374",11374,2016-02-26,2016.0,6.0,0,0,1,0,2,,2,0,5,5.0,4.0,5.0,8.0,1962.0,,88,,0,392000.0
"65-45 Yellowstone Blvd,  Forest Hills NY, 11375",11375,2016-02-26,2016.0,6.0,1,1,1,0,1,6.0,1,0,3,,1.0,2.0,28.0,1955.0,,90,587.0,0,200000.0
"125-10 Queens Blvd., Kew Gardens, NY 11415",11415,2016-02-29,2016.0,8.0,0,0,1,0,2,1.0,2,0,5,,3.0,2.0,28.0,1963.0,,91,1459.0,215,289550.0
"83-60 118 St,  Kew Gardens NY, 11415",11415,2016-03-01,2016.0,8.0,0,0,1,0,1,12.0,1,0,3,3.0,1.0,2.0,28.0,1960.0,,90,655.0,0,140000.0
"83-40 Austin St,  Kew Gardens NY, 11415",11415,2016-03-01,2016.0,8.0,0,0,1,0,1,7.0,1,0,3,3.0,1.0,4.0,28.0,1956.0,,92,791.0,0,175000.0
